Title,profileName,rating,review
Mad Dog and Englishman: A Mad Dog & Englishman Mystery (Mad Dog & Englishman Series),Harriet Klausner,4,"For the most part, the citizens of Buffalo Springs, Kansas are law abiding. It has been seventeen years since the last homicide. The sheriff's brother, who is one-fourth Cheyenne, dresses up as an Indian. He goes to the local park seeking a vision, but instead stumbles over the mutilated corpse of Reverend Peter Samms.The deputy chases after an outsider, a black man who the law enforcement official believes killed the Reverend. During the pursuit, the deputy wrecks the car. Next, police officials find the Reverend's father dead with his head scalped in the same way as his son. These two murders are linked to the kidnapping of the sheriff's daughter by two dysfunctional adults. The sheriff needs to outwit the psychotic duo while outrunning a tornado.MAD DOG AND ENGLISHMAN does not contain Cocker or Russell, but remains a fascinating, unusual police procedural due to the cast. The ensemble seems to have just stepped out of the Twilight Zone or perhaps Eerie, Indiana. Thus, the plot and characters make for an uncanny tale that J.M. Hayes could turn into a series that serves as the exciting center of weirdness in the mystery universe.Harriet Klausner"
Gaudy Night,Harriet Klausner,5,"Mystery writer Harriet Vane returns to Oxford's Shrewsbury College for a class reunion knowing her recent trial for murder makes her infamous. Since her acquittal Harriet says no to her persistent hero Lord Peter Wimsey while feeling somewhat abashed that her dirty laundry was revealed in court but as she did even in jail and at the trial she still refuses to bow down to the nasty gossips.However, someone has a different opinion about Harriet. She receives ugly letters calling her a ""dirty murderess;"" each one harsher than the previous. Fearing for her life, she asks her champion Lord Peter for help as she knows a stalker walking the hallow halls of Oxford plans to execute her.The third Lord Peter Wimsey Mystery with Harriet Vane (see Have His Carcase and Strong Poison) is an engaging historical mystery that focuses on the beginning of the Depression and the bantering relationship between the protagonists more than the super whodunit. The support cast is excellent as they bring circa 1930s academia to life while making a strong case for women's rights as the female professors have less standing than male freshmen. Fast-paced, fans will enjoy the engaging Gaudy Night.Harriet Klausner"
The Covenant Rising: Book One of The Dreamtime,Harriet Klausner,5,"Bhealfa is a caste society in which magic defines status. Authorities use spells to keep the masses in line and watch everyone through all-seeing scythe bowls. While the eccentric Prince Melyobar and his retinue sail in his movable dwelling to avoid Death, the Gath Tampoor Empire uses the Bhealfa citizenry as it has for twenty years as sword and sorcery fodder in its war with the Rintarah Empire, the previous conquerors and wasters of Bhealfa populace.Reeth Caldason seeks magical relief from the curse he suffers from that turns him into a blood raging mass killer if not chained, but learns the wizard he seeks is dead. The wizard's apprentice Kutch Pirathon mentions the Covenant, which gives the beleaguered Reeth a sliver of hope. Another visitor Dulian Karr, paying respect to the deceased, wants to liberate Bhealfa from the two empires that rotate subjugation; he suggests that Kutch and Reeth team up as they seek the same requirement, a master mage. The epic adventure for freedom has begun.In many ways THE COVENANT RISING is a typical epic fantasy, but is also much more. The story line contains the usual sword and sorcery elements throughout, but Stan Nicholls blends them into an intriguing societal arrangement sort of like India's caste society within a magically based Orwellian 1984. Reeth and Kutch are terrific protagonists with neither trusting the other though needing one another if they are to gain their wish. The freeing of incarcerated female military captain Serrah Ardacris, whose imprisonment adds to the feel of a real society, increases the unease of the ""alliance"" between this dynamic dual. Thought provoking, Mr. Nicholls furbishes a terrific opening tale in his Dreamtime trilogy.Harriet Klausner"
Half In Love - Stories,CoffeeGurl,5,"I loved this wonderful collection of short stories, most of which have a western setting. Half in Love deals with various aspects of the human condition, like infidelity, grief, growing pains and other issues. The stories set in ranches are the best ones here, in my opinion. My favorite stories are ""Four Lean Hounds, ca. 1976,"" ""A Stakes Horse,"" ""The River,"" ""Ranch Girl,"" and ""Red."" The aforementioned ones are my favorites, but all fifteen stories fulfilled and enthralled me from beginning to end and I cannot wait to read another wonderful, thought-provoking offering by Maile Meloy."
4 Blondes,CoffeeGurl,3,"I enjoyed Candace Bushnell's Sex and the City. I also love her column in the New York Observer, but her new book, Four Blondes, lacks charm and originality. I felt as though I was reading one of her newspaper articles. She brought absolutely nothing new in this one. That's not to say, however, that it isn't a fun and interesting read. I really enjoyed the story of Janey WIlcox. I have met my fair share of gold diggers and she is a very spunky character. The other stories were okay, but they seemed awfully familiar. Bushnell is incredibly talented. She talks about sex, money and lavish lifestyles with a great deal of knowledge and soul. I just wish she'd write something with fewer cliches."
Midnight Embrace,Harriet Klausner,4,"Analisa Mathews knows that it is just a matter of a short time before she joins her family in death. The disease has left her weak and the ailing woman welcomes her demise until the strange doctor visits her and gives her a concoction. Her regular physician Dr. Martinson is shocked to see Analisa begin to recover her health. To Analisa's surprise Martinson cannot even see her enigmatic medical visitor that she observes in plain sight.After leaving the hospital fully and miraculously recovered, Analisa learns the identity of her benefactor, Lord Alesandro de Avallone. She moves into his castle based on his note that she is welcome there while he is away. Analisa soon perceives the true identity of her benevolent host and falls in love with him in spite of knowing he is a vampire. He returns her feelings, but has placed her in danger from a deadly enemy.Though the good vs. evil is over-pronounced, fans of vampire romances will want to read MIDNIGHT EMBRACE. The story line contains two wonderful lead protagonists and an enlightening support cast especially Alesandro's servants that enable the audience to better understand the era and the starring duet. Amanda Ashley provides her fans with an enticing supernatural love story.Harriet Klausner"
Annie Get Your Guy/ Messing Around with Max,Harriet Klausner,5,"&quot;Annie Get Your Guy.&quot; Annie Sawyer knows her bookstore is a success, but when it comes to luring a blockhead like Guy Donovan she is a failure. He treats little Annie like a younger tomboyish brother. With the encouragement of her sister-in-law, Annie plans to seduce Guy. Either he will die of a heart attack from laughing at her, lose all respect for her, or match the beat of her heart. The only problem is that Guy plans to marry someone else.&quot;Messing Around With Max.&quot; Annie's brother Max meets one of her regulars Maddie Montgomery at the bookstore. Her show of affection towards his mean-spirited but harmless dog Cleo stuns him. He goes into near cardiac arrest when she chooses him to teach her everything she wants to know about sex. However, though Cleo accepts Maddie, Max wonders how to persuade Maddie that though he may be a reprobate, she is his destiny.Writing for Duets has to be one of the more frightening assignments for an author because readers obviously compare the two tales. Writing two novels for the same Duet has to be even scarier because the audience can contrast your own work and find one lacking substance which means there is damage to one's reputation. Based on her works in DUETS 47, Lori Foster shows she has the talent to handle double duty, as her two Sawyer tales are fun and amusing with likable lead characters. No messing around, Ms Foster gets her fans with a pair of fabulous romantic romps that provide delightful entertainment.Harriet Klausner"
Beautiful Lies: A Novel,CoffeeGurl,3,"Ridley Jones is a successful thirty-something freelance journalist from New York. Her life is normal until the day she rescues a child and her picture is all over the news. She receives a letter with a picture of three people -- a man, a woman and a child -- that says, ""Are you my daughter?"" From then on, her life isn't the same. Her parents, or the people she once believed were her parents, are obviously hiding something. Her junkie brother, Ace, resents her and someone wants her dead. There is a mystery surrounding an organization put together by her uncle involving the help of children in troubled homes. On top of everything else, an attractive and mysterious man named Jake steps into her life just as she begins to question everything around her. Who is Ridley? What is in her past and who is trying to keep her from finding out? There are various twists throughout the novel.I like the buildup of tension and suspense in this. You get the answers in a timely but fast-paced fashion and you can't wait to know what happens next. The heroine has a great voice. I love the way the author describes New York. She doesn't romanticize the city -- makes it as dark as the plot of this novel. The story is kind of complex and you're confused for a while, but the author puts its pieces together nicely. There are areas in which the plot and narrative become annoying. For instance, there is a scene where Ridley demands the truth from one of the characters, but she keeps pushing the character away or interrupting him or picking fights. I almost threw the book across the wall and yelled, ""Just let the man talk!"" Ugh. Other than that, this is an enjoyable and suspenseful effort. Lisa Unger is a great writer and I recommend Beautiful Lies."
Beautiful Lies: A Novel,A Customer,3,"When I staerted reading this book I really couldnt put it down. It has all the ingredients for a page turner. Why the 3 stars you ask? That's one reason. She is conatantly asking the reader questions and making &#34;asides&#34; I enjoy being a bystander not a participant. I also noticed how the main character was inconsistant, smart at getting some things and slow at other times. The way the author wrote was that you really wernt too far ahead of wat the characters knew, however, when Ridley or Jake made their apiphanies found myself saying &#34;yeah no crap ( no $?*!) I already knew this&#34;The book is an easy read and is a good mystery type book. I would have payed more for the book as for the most part enjoyed the read."
The Essential Charlotte,Harriet Klausner,4,"Thirty something Manhattanite Charlotte Stiles cannot believe that Corrine (her mother insisted she call by her name) just died. The ""Ask the Doctor"" research librarian is a bit off but not just because of the death of the only person who loved her (albeit from a distance). It is hard to believe because Corrine was filled with vigor and &eacute;lan traveling the globe as a nutty but likable artist.The will shakes Charlotte to the core because Corrine's stipulation for her daughter to inherit her Soho loft, she must live there for one year with her father, whom she thought died over three decades ago. Charlotte cannot even look at him so how is she to live with William LaViolette for one year. One thing is for sure it is not by seeing a hunk of an actor. Her only help lives in San Francisco, but Paul is there for her encouraging her as they talk over the Net; that is not counting her chats with mom.When the tale concentrates on a deep character study of what is THE ESSENTIAL CHARLOTTE, the story line is superb; when the subplot dips into chick lit turf it remains fun but typical candy fare. Overall Libby Schmais keeps her novel at the highest quality levels as readers become acquainted with Charlotte through her activities, discussions with her deceased mom, and the three males (dad, the actor, and Paul) currently in her life. Fans of powerful character-driven dramas will want to read the near perfect tale of how Charlotte finds her groove.Harriet Klausner"
The Essential Charlotte,CoffeeGurl,4,"I read The Perfect Elizabeth some years ago and thought I'd give Libby Schmais another whirl. The Essential Charlotte, like The Perfect Elizabeth, is another enchanting novel about getting to know a significant other in your life as well as oneself. Charlotte is a shy research librarian who lives on the edge by way of her eccentric mother, chic artist Corrine. But when her mother dies, Charlotte feels at a loss. The one good thing is that she'll inherit her mother's trendy Soho loft. But there is one condition: she has to live there with her father for one year. There is one problem: she doesn't know her father. In fact, she had no idea her father had been alive until after her mother died! How is she going to cope living with a stranger, even if he is her father? There are some twists throughout the novel.The Essential Charlotte is full of wit and charm. The backdrop of the art world as well as the obsession with New York real estate sets the perfect tone for this story. Charlotte is a great heroine and I was able to relate with her every day problems and inner musings. The novel sometimes drifted to the usual chick-lit, single-thirty-something-woman-living-in-New-York angst, but Schmais writes the aforementioned things with wit and insight and therefore making this novel unique. Her writing style is similar to the author Jennifer Weiner at times. I recommend The Essential Charlotte and I look forward to reading more stuff by this author."
Party Crashers,Harriet Klausner,4,"Realtor Jolie Goodman quit her job over her new boss demanding she do an unethical act in order to make a sale. Jolie temporarily sells shoes at the Nieman Marcus in Atlanta's Lenox Mall. There she meets Beck Underwood of Underwood Broadcasting, who needs socks and shoes having just returned from Central America. The duo is attracted to one another, but nothing comes of it not jus because she is working, but police Detective Salyers arrives to question Jolie about her missing boyfriend Gary Hagan, whose car was found in the Chattahoochee with a dead woman inside.The police suspect that Jolie abetted Gary in his escape though she denies involvement. As Detective Salyers searches for Gary, he quietly warns Jolie to watch herself as he is in danger and she might be. Meanwhile she runs into Beck at an event that she crashes and soon they begin to fall in love. However, after Gary, she has doubts about her taste in men besides which she is in danger from people who believe she has something of Gary's that they want at any cost.Though the police procedural-Gary subplot in many ways takes center stage and the conspiracy behind all this is overdone, the contemporary romance between Jolie and Beck is well written and cleverly interwoven with the case. The support cast adds depth especially those co-workers like the ultra-tall long necked professional party crasher who mentors the heroine in the arts of attending celebrity events for free. Fans will appreciate this mixing of humor and love within in a crime thriller while attending an advanced class in Party Crashing 301.Harriet Klausner"
Hard Times,A Customer,3,"I totally didn't get this book. Ordinarily I like Dickens but now I simply couldn't figure out what each event had to do with each other, nor did I understand the end. However the single segments, especially those with Louisa in them, were interesting. It is even funny reading the beginning of the book when Mr. Gradgrind teaches that imagination is useless and only facts are important. If you want a fluid book that is more this type of story,read Great Expectations,which is not my favorite book but it certainly makes more sense. Personally, my favorite Dickens is Oliver Twist."
The Way He Makes Me Feel,Harriet Klausner,5,"Electrician Duncan Hillston brags to his friends Hawk Morrissey and Patrick Morley that he made it with Hollywood star Janette Baxter who makes Halle look ugly. His friends have listened to him boast that he is the player since ninth grade, but this time they feel his hyperbole is outrageous. He insists he can pick up any woman through his time tested three step process of soothe them, entice them, and finally seduce them. They offer to pay for a Europe trip if he can get Claire ""Medusa"" Scott to fall in love with him by accompanying him to the Westfield annual block party in two weeks.Though he puts up a front, Duncan remembers Medusa as the brain of school, graduating with his class though three years younger. Her intelligence intimidated him then and he fears she still does. Unbeknownst to him, Claire had a crush on Duncan and never forgot him though he avoided her. As Duncan applies his scientific method to score, a strange thing happens; he falls in love with Claire, but though he believes she reciprocates, he fears how she will react when he mentions the wager something he believes he must tell her.THE WAY HE MAKES ME FEEL is an enjoyable contemporary romance starring a likable player who succeeds with the women (though at times exaggerates his prowess) because he treats females with respect. His counterpart Claire is a genius in the lab as a research pharmacist, but the little ninth grader resides inside her. Together, Duncan and Claire make for a fine reading experience for sub-genre fans.Harriet Klausner"
The Medici Dagger,Harriet Klausner,4,"In 1491, Leonardo da Vinci invents a new alloy. He shapes it into a blade and places it inside a vise. He slams a mallet on the tip only to see the hammer split apart while the dagger remains whole. Knowing how his benefactors think, Leonardo believes that his creation would be used as a weapon of destruction. He hides his findings with the hope that the future will beget a world filled with peace that can use his alloy for the common good.Five centuries later internationally recognized da Vinci expert Rollo Barnett decodes the Renaissance Man's enigmatic writing about the dagger. However, he and his wife die in a suspicious-looking fire. Two decades later, Rollo's son Reb learns that a billionaire arms dealer murdered his parents. He obsessively needs to complete his father's work on da Vinci and revenge himself on the killer though he places himself in danger from his parents' killer.If thriller fans suspend logic for a few hours, they will enjoy an action packed tale. The story line requires the reader to accept a lot even from the start. For instance, da Vinci hides his new discovery for fear of weapon-use yet shapes it into a dagger. The arms dealer wants to make outer space smart bombs (don't ask how), but kills the prime source of locating the alloy. This consistent inconsistency is bothersome for those fans that need to believe in an ""authentic"" feel to the events. However, Cameron West's debut novel provides entertainment for those readers who want a simple but wild ride.Harriet Klausner"
Better Off Dead (Casey Jones Mysteries #5),Harriet Klausner,5,"Tough and able to keep her head during a crisis, Durham, North Carolina private detective Casey Jones does not own an official sleuthing license because she did time. Minor problem to Casey as she still handles inquiries for clients. Helen Pugh was raped, tortured, and left to die, bur somehow she survived. Already suffering from an extreme case of agoraphobia, her attacker begins calling her saying he plans to finish the job.Helen thinks Duke University Professor David Brookhouse attacked her, but his high priced attorney persuaded the jury otherwise when the case went to trial. Casey goes undercover as a student in one of Brookhouse's classes to see what dirt she find on him, not yet realizing how her actions places herself and her loved ones in danger from a clever sociopath.BETTER OFF DEAD is an exciting thriller starring an intrepid heroine and a host of eccentric characters, which eases some of the tension from the non-stop action. Katy Munger is a bright star who keeps her readers' attention until the climax, an ending that is not as tidy as most genre books. Fans should read this marvelous novel.Harriet Klausner"
Hopscotch,Harriet Klausner,5,"Though supposed to be above politics, the Agency is embroiled in internal politics that reacts to external pressures from the White House and Congress. Thus, it is not surprising that his employers force long time out in the cold agent Miles Kendig to retire. A man used to living beyond the edge in which every breath could mean death, Miles finds middle age life in America boring as he misses the adrenalin rush that his field missions provided him.Several years pass. Miles is ready to get back in the game on his terms. This time he will be a rogue exposing the world espionage units to the public as unscrupulous dirty tricks in which murder or ruining someone is a way of life and collateral damage is acceptable as long as the mission is accomplished. Competing spy agencies form strange bedfellows with one quest: destroy Miles before he exposes them. Gleefully, Miles, a veteran of twenty-five years of field work, looks forward to the ultimate cat and mouse game, in which he tossed down the gauntlet.This is a terrific spy thriller that sort of reminded this reviewer more of the Bourne Identity (second movie) than the Mathau film Hopscotch. Though the novel is from the late 1960s early 1970s, the story line remains fresh because the Cold War is more of a backdrop except that d'entente existed when it is convenient for all parties to fight the common cause, a lone ranger. That intrepid individualism that is rare to see in a society filled with profiles and spin doctors is what makes Brian Garfield's thriller hold up as a fabulous espionage thriller.Harriet Klausner"
Barbarians Are Coming,Harriet Klausner,5,"Sterling Lung grew up in the back of his parents' Chinese laundry. His parents expected Sterling to attend medical school so he could become a doctor. When he rejected their choice to attend a culinary school, Sterling's parents felt he dishonored them.Now twenty-six, Sterling's goal in life is to become the All-American male. However, he will soon find his roots, love interest, and employer pulling at him from different directions. His parents have chosen his Chinese bride, but Sterling wants to make his own selection. He feels very strongly that he is not ready to marry. His girlfriend wants Sterling to commit to a more meaningful relationship, but he is not ready to do so since she is in Iowa studying dentistry. His employer wants him to cook genuine Chinese cuisine, but Sterling studied French cuisine. He will have to &quot;Americanize&quot; the genuine taste. If he honors the wishes of others, Sterling dishonors his own desires.THE BARBARIANS ARE COMING is an incredible tale that provides the audience insight into the discord confronting Chinese-Americans. Sterling is a wonderful protagonist, but it is the support cast that brings him to life. His parents' paradoxical philosophy towards their son is extremely interesting, as they want him to make it in America while remaining Chinese. This cacophony will remind readers of their descendants' struggle between the &quot;old country&quot; and the Americanization of the children. David Wong Louie shows a clever talent that uses wit to describe the inner desires and conflict of his characters.Harriet Klausner"
The President's Assassin,Harriet Klausner,5,"In exile to the CIA's Office of Special Projects, Army JAG Major Sean Drummond is escorted by FBI Agent Jennifer Margold to a Virginia crime scene where six corpses are located. Considering that the house is impenetrable with cameras and radar detectors outside and agents inside, no one knows how the killer breached the premises. That is no one until Sean explains the most likely method that led to the assassination of the White House Chief of Staff Terry Belknap, his wife, and their four secret service bodyguards. The message left behind is ""... the president will be history in the next two days"".Though he wants out because he knows what will hit the bureaucratic fan, Sean wonders if the mass murders are linked to the $100 million bounty offered for killing the president? Soon a Supreme Court Justice and the Republican National Committee chairman are killed too. Drummond concludes that a mole inside the inner circle of security is giving away information. He must remove the mole before he can stop the killing machine, but has only one day left.In his fifth appearance, Drummond is at his wisecracking best because he has the perfect straight man (make that woman) the tight Margold as his sidekick. Sean is stupendous as he cannot sit idly quiet even when it is his in his best interests while working for the civilians. The story line is terrific, perhaps the best of a strong series as Brian Haig provides a fabulous political investigative thriller that grips the audience from the moment Sean opens his mouth in the affluent Virginia suburbs and never slows down until he gets the final word in.Harriet Klausner"
